10_25	ir	eles/as (vcs) | presente subjuntivo	vão	(that) they talk
10_26	ir	eu | imperfeito subjuntivo	fosse	(if) I talked
10_27	ir	ele/a (vc) | imperfeito subjuntivo	fosse	(if) he talked
10_28	ir	nós | imperfeito subjuntivo	fôssemos	(if) we talked
10_29	ir	eles/as (vcs) | imperfeito subjuntivo	fossem	(if) they talked
10_30	ir	eu | futuro subjuntivo	for	if/when I talk
10_31	ir	ele/a (vc) | futuro subjuntivo	for	if/when he talks
10_32	ir	nós | futuro subjuntivo	formos	if/when we talk
10_33	ir	eles/as (vcs) | futuro subjuntivo	forem	if/when they talk
10_34	ir	eu | pessoal infinitivo	ir	for me to talk
10_35	ir	ele/a (vc) | pessoal infinitivo	ir	for him to talk
10_36	ir	nós | pessoal infinitivo	irmos	for us to talk
10_37	ir	eles/as (vcs) | pessoal infinitivo	irem	for them to talk
11_1	dar	eu | presente	dou	I talk
11_2	dar	ele/a (vc) | presente	dá	he talks
11_3	dar	nós | presente	damos	we talk
11_4	dar	eles/as (vcs) | presente	dão	they talk
11_5	dar	eu | imperfeito	dava	I used to talk
11_6	dar	ele/a (vc) | imperfeito	dava	he used to talk
11_7	dar	nós | imperfeito	dávamos	we used to talk
11_8	dar	eles/as (vcs) | imperfeito	davam	they used to talk
11_9	dar	eu | pretérito	dei	I talked
11_10	dar	ele/a (vc) | pretérito	deu	he talked
11_11	dar	nós | pretérito	demos	we talked
11_12	dar	eles/as (vcs) | pretérito	deram	they talked
11_13	dar	eu | condicional	daria	I would talk
11_14	dar	ele/a (vc) | condicional	daria	he would talk
11_15	dar	nós | condicional	daríamos	we would talk
11_16	dar	eles/as (vcs) | condicional	dariam	they would talk
11_17	dar	ele/a (vc) | imperativo	dê	talk!
11_18	dar	nós | imperativo	demos	talk!
11_19	dar	eles/as (vcs) | imperativo	deem	talk!
11_20	dar	| gerundo	dando	talking
11_21	dar	| particípio	dado	talked
11_22	dar	eu | presente subjuntivo	dê	(that) I talk
11_23	dar	ele/a (vc) | presente subjuntivo	dê	(that) he talk
11_24	dar	nós | presente subjuntivo	demos	(that) we talk
11_25	dar	eles/as (vcs) | presente subjuntivo	deem	(that) they talk
11_26	dar	eu | imperfeito subjuntivo	desse	(if) I talked
11_27	dar	ele/a (vc) | imperfeito subjuntivo	desse	(if) he talked
11_28	dar	nós | imperfeito subjuntivo	déssemos	(if) we talked
11_29	dar	eles/as (vcs) | imperfeito subjuntivo	dessem	(if) they talked
11_30	dar	eu | futuro subjuntivo	der	if/when I talk
11_31	dar	ele/a (vc) | futuro subjuntivo	der	if/when he talks
11_32	dar	nós | futuro subjuntivo	dermos	if/when we talk
11_33	dar	eles/as (vcs) | futuro subjuntivo	derem	if/when they talk
11_34	dar	eu | pessoal infinitivo	dar	for me to talk
11_35	dar	ele/a (vc) | pessoal infinitivo	dar	for him to talk
11_36	dar	nós | pessoal infinitivo	darmos	for us to talk
11_37	dar	eles/as (vcs) | pessoal infinitivo	darem	for them to talk
12_1	ver	eu | presente	vejo	I talk
12_2	ver	ele/a (vc) | presente	vê	he talks
12_3	ver	nós | presente	vemos	we talk
12_4	ver	eles/as (vcs) | presente	veem	they talk
12_5	ver	eu | imperfeito	via	I used to talk
12_6	ver	ele/a (vc) | imperfeito	via	he used to talk
12_7	ver	nós | imperfeito	víamos	we used to talk
12_8	ver	eles/as (vcs) | imperfeito	viam	they used to talk
12_9	ver	eu | pretérito	vi	I talked
12_10	ver	ele/a (vc) | pretérito	viu	he talked
12_11	ver	nós | pretérito	vimos	we talked
12_12	ver	eles/as (vcs) | pretérito	viram	they talked
12_13	ver	eu | condicional	veria	I would talk
12_14	ver	ele/a (vc) | condicional	veria	he would talk
12_15	ver	nós | condicional	veríamos	we would talk
12_16	ver	eles/as (vcs) | condicional	veriam	they would talk
12_17	ver	ele/a (vc) | imperativo	veja	talk!
12_18	ver	nós | imperativo	vejamos	talk!
12_19	ver	eles/as (vcs) | imperativo	vejam	talk!
12_20	ver	| gerundo	vendo	talking
12_21	ver	| particípio	visto	talked
12_22	ver	eu | presente subjuntivo	veja	(that) I talk
12_23	ver	ele/a (vc) | presente subjuntivo	veja	(that) he talk
12_24	ver	nós | presente subjuntivo	vejamos	(that) we talk
12_25	ver	eles/as (vcs) | presente subjuntivo	vejam	(that) they talk
12_26	ver	eu | imperfeito subjuntivo	visse	(if) I talked
12_27	ver	ele/a (vc) | imperfeito subjuntivo	visse	(if) he talked
12_28	ver	nós | imperfeito subjuntivo	víssemos	(if) we talked
12_29	ver	eles/as (vcs) | imperfeito subjuntivo	vissem	(if) they talked
12_30	ver	eu | futuro subjuntivo	vir	if/when I talk
12_31	ver	ele/a (vc) | futuro subjuntivo	vir	if/when he talks
12_32	ver	nós | futuro subjuntivo	virmos	if/when we talk
12_33	ver	eles/as (vcs) | futuro subjuntivo	virem	if/when they talk
12_34	ver	eu | pessoal infinitivo	ver	for me to talk
12_35	ver	ele/a (vc) | pessoal infinitivo	ver	for him to talk
12_36	ver	nós | pessoal infinitivo	vermos	for us to talk
12_37	ver	eles/as (vcs) | pessoal infinitivo	verem	for them to talk
13_1	ter	eu | presente	tenho	I talk
13_2	ter	ele/a (vc) | presente	tem	he talks
13_3	ter	nós | presente	temos	we talk
13_4	ter	eles/as (vcs) | presente	têm	they talk
13_5	ter	eu | imperfeito	tinha	I used to talk
13_6	ter	ele/a (vc) | imperfeito	tinha	he used to talk
13_7	ter	nós | imperfeito	tínhamos	we used to talk
13_8	ter	eles/as (vcs) | imperfeito	tinham	they used to talk
13_9	ter	eu | pretérito	tive	I talked
13_10	ter	ele/a (vc) | pretérito	teve	he talked
13_11	ter	nós | pretérito	tivemos	we talked
13_12	ter	eles/as (vcs) | pretérito	tiveram	they talked
13_13	ter	eu | condicional	teria	I would talk
13_14	ter	ele/a (vc) | condicional	teria	he would talk
13_15	ter	nós | condicional	teríamos	we would talk
13_16	ter	eles/as (vcs) | condicional	teriam	they would talk
13_17	ter	ele/a (vc) | imperativo	tenha	talk!
13_18	ter	nós | imperativo	tenhamos	talk!
13_19	ter	eles/as (vcs) | imperativo	tenham	talk!
13_20	ter	| gerundo	tendo	talking
13_21	ter	| particípio	tido	talked
13_22	ter	eu | presente subjuntivo	tenha	(that) I talk
13_23	ter	ele/a (vc) | presente subjuntivo	tenha	(that) he talk
13_24	ter	nós | presente subjuntivo	tenhamos	(that) we talk
13_25	ter	eles/as (vcs) | presente subjuntivo	tenham	(that) they talk
13_26	ter	eu | imperfeito subjuntivo	tivesse	(if) I talked
13_27	ter	ele/a (vc) | imperfeito subjuntivo	tivesse	(if) he talked
13_28	ter	nós | imperfeito subjuntivo	tivéssemos	(if) we talked
13_29	ter	eles/as (vcs) | imperfeito subjuntivo	tivessem	(if) they talked
13_30	ter	eu | futuro subjuntivo	tiver	if/when I talk
13_31	ter	ele/a (vc) | futuro subjuntivo	tiver	if/when he talks
13_32	ter	nós | futuro subjuntivo	tivermos	if/when we talk
13_33	ter	eles/as (vcs) | futuro subjuntivo	tiverem	if/when they talk
13_34	ter	eu | pessoal infinitivo	ter	for me to talk
13_35	ter	ele/a (vc) | pessoal infinitivo	ter	for him to talk
13_36	ter	nós | pessoal infinitivo	termos	for us to talk
13_37	ter	eles/as (vcs) | pessoal infinitivo	terem	for them to talk
14_1	vir	eu | presente	venho	I talk
14_2	vir	ele/a (vc) | presente	vem	he talks
14_3	vir	nós | presente	vimos	we talk
14_4	vir	eles/as (vcs) | presente	vêm	they talk
14_5	vir	eu | imperfeito	vinha	I used to talk
14_6	vir	ele/a (vc) | imperfeito	vinha	he used to talk
14_7	vir	nós | imperfeito	vínhamos	we used to talk
14_8	vir	eles/as (vcs) | imperfeito	vinham	they used to talk
14_9	vir	eu | pretérito	vim	I talked
14_10	vir	ele/a (vc) | pretérito	veio	he talked
14_11	vir	nós | pretérito	viemos	we talked
14_12	vir	eles/as (vcs) | pretérito	vieram	they talked
14_13	vir	eu | condicional	viria	I would talk
14_14	vir	ele/a (vc) | condicional	viria	he would talk
14_15	vir	nós | condicional	viríamos	we would talk
14_16	vir	eles/as (vcs) | condicional	viriam	they would talk
14_17	vir	ele/a (vc) | imperativo	venha	talk!
14_18	vir	nós | imperativo	venhamos	talk!
14_19	vir	eles/as (vcs) | imperativo	venham	talk!
14_20	vir	| gerundo	vindo	talking
14_21	vir	| particípio	vindo	talked
14_22	vir	eu | presente subjuntivo	venha	(that) I talk
14_23	vir	ele/a (vc) | presente subjuntivo	venha	(that) he talk
14_24	vir	nós | presente subjuntivo	venhamos	(that) we talk
14_25	vir	eles/as (vcs) | presente subjuntivo	venham	(that) they talk
14_26	vir	eu | imperfeito subjuntivo	viesse	(if) I talked
14_27	vir	ele/a (vc) | imperfeito subjuntivo	viesse	(if) he talked
14_28	vir	nós | imperfeito subjuntivo	viéssemos	(if) we talked
14_29	vir	eles/as (vcs) | imperfeito subjuntivo	viessem	(if) they talked
14_30	vir	eu | futuro subjuntivo	vier	if/when I talk
14_31	vir	ele/a (vc) | futuro subjuntivo	vier	if/when he talks
14_32	vir	nós | futuro subjuntivo	viermos	if/when we talk
14_33	vir	eles/as (vcs) | futuro subjuntivo	vierem	if/when they talk
14_34	vir	eu | pessoal infinitivo	vir	for me to talk
14_35	vir	ele/a (vc) | pessoal infinitivo	vir	for him to talk
14_36	vir	nós | pessoal infinitivo	virmos	for us to talk
14_37	vir	eles/as (vcs) | pessoal infinitivo	virem	for them to talk
15_1	saber	eu | presente	sei	I talk
15_2	saber	ele/a (vc) | presente	sabe	he talks
15_3	saber	nós | presente	sabemos	we talk
15_4	saber	eles/as (vcs) | presente	sabem	they talk
15_5	saber	eu | imperfeito	sabia	I used to talk
15_6	saber	ele/a (vc) | imperfeito	sabia	he used to talk
15_7	saber	nós | imperfeito	sabíamos	we used to talk
15_8	saber	eles/as (vcs) | imperfeito	sabiam	they used to talk
15_9	saber	eu | pretérito	soube	I talked
15_10	saber	ele/a (vc) | pretérito	soube	he talked
15_11	saber	nós | pretérito	soubemos	we talked
15_12	saber	eles/as (vcs) | pretérito	souberam	they talked
15_13	saber	eu | condicional	saberia	I would talk
15_14	saber	ele/a (vc) | condicional	saberia	he would talk
15_15	saber	nós | condicional	saberíamos	we would talk
15_16	saber	eles/as (vcs) | condicional	saberiam	they would talk
15_17	saber	ele/a (vc) | imperativo	saiba	talk!
15_18	saber	nós | imperativo	saibamos	talk!
15_19	saber	eles/as (vcs) | imperativo	saibam	talk!
15_20	saber	| gerundo	sabendo	talking
15_21	saber	| particípio	sabido	talked
15_22	saber	eu | presente subjuntivo	saiba	(that) I talk
15_23	saber	ele/a (vc) | presente subjuntivo	saiba	(that) he talk
15_24	saber	nós | presente subjuntivo	saibamos	(that) we talk
15_25	saber	eles/as (vcs) | presente subjuntivo	saibam	(that) they talk
15_26	saber	eu | imperfeito subjuntivo	soubesse	(if) I talked
15_27	saber	ele/a (vc) | imperfeito subjuntivo	soubesse	(if) he talked
15_28	saber	nós | imperfeito subjuntivo	soubéssemos	(if) we talked
15_29	saber	eles/as (vcs) | imperfeito subjuntivo	soubessem	(if) they talked
15_30	saber	eu | futuro subjuntivo	souber	if/when I talk
15_31	saber	ele/a (vc) | futuro subjuntivo	souber	if/when he talks
15_32	saber	nós | futuro subjuntivo	soubermos	if/when we talk
15_33	saber	eles/as (vcs) | futuro subjuntivo	souberem	if/when they talk
15_34	saber	eu | pessoal infinitivo	saber	for me to talk
15_35	saber	ele/a (vc) | pessoal infinitivo	saber	for him to talk
15_36	saber	nós | pessoal infinitivo	sabermos	for us to talk
