vir	venho	vem	vimos	vêm	vinha	vinha	vínhamos	vinham	vim	veio	viemos	vieram	viria	viria	viríamos	viriam	venha	venhamos	venham	vindo	vindo	venha	venha	venhamos	venham	viesse	viesse	viéssemos	viessem	vier	vier	viermos	vierem	vir	vir	virmos	virem
saber	sei	sabe	sabemos	sabem	sabia	sabia	sabíamos	sabiam	soube	soube	soubemos	souberam	saberia	saberia	saberíamos	saberiam	saiba	saibamos	saibam	sabendo	sabido	saiba	saiba	saibamos	saibam	soubesse	soubesse	soubéssemos	soubessem	souber	souber	soubermos	souberem	saber	saber	sabermos	saberem
conhecer	conheço	conhece	conhecemos	conhecem	conhecia	conhecia	conhecíamos	conheciam	conheci	conheceu	conhecemos	conheceram	conheceria	conheceria	conheceríamos	conheceriam	conheça	conheçamos	conheçam	conhecendo	conhecido	conheça	conheça	conheçamos	conheçam	conhecesse	conhecesse	conhecêssemos	conhecessem	conhecer	conhecer	conhecermos	conhecerem	conhecer	conhecer	conhecermos	conhecerem
poder	posso	pode	podemos	podem	podia	podia	podíamos	podiam	pude	pôde	pudemos	puderam	poderia	poderia	poderíamos	poderiam	possa	possamos	possam	podendo	podido	possa	possa	possamos	possam	pudesse	pudesse	pudéssemos	pudessem	puder	puder	pudermos	puderem	poder	poder	podermos	poderem
ouvir	ouço	ouve	ouvimos	ouvem	ouvia	ouvia	ouvíamos	ouviam	ouvi	ouviu	ouvimos	ouviram	ouviria	ouviria	ouviríamos	ouviriam	ouça	ouçamos	ouçam	ouvindo	ouvido	ouça	ouça	ouçamos	ouçam	ouvisse	ouvisse	ouvíssemos	ouvissem	ouvir	ouvir	ouvirmos	ouvirem	ouvir	ouvir	ouvirmos	ouvirem
ler	leio	lê	lemos	leem	lia	lia	líamos	liam	li	leu	lemos	leram	leria	leria	leríamos	leriam	leia	leiamos	leiam	lendo	lido	leia	leia	leiamos	leiam	lesse	lesse	lêssemos	lessem	ler	ler	lermos	lerem	ler	ler	lermos	lerem
querer	quero	quer	queremos	querem	queria	queria	queríamos	queriam	quis	quis	quisemos	quiseram	quereria	quereria	quereríamos	quereriam	queira	queiramos	queiram	querendo	querido	queira	queira	queiramos	queiram	quisesse	quisesse	quiséssemos	quisessem	quiser	quiser	quisermos	quiserem	querer	querer	querermos	quererem
requerer	requeiro	requer	requeremos	requerem	requeria	requeria	requeríamos	requeriam	requeri	requereu	requeremos	requereram	requereria	requereria	requereríamos	requereriam	requeira	requeiramos	requeiram	requerendo	requerido	requeira	requeira	requeiramos	requeiram	requeresse	requeresse	requerêssemos	requeressem	requerer	requerer	requerermos	requererem	requerer	requerer	requerermos	requererem
rir	rio	ri	rimos	riem	ria	ria	ríamos	riam	ri	riu	rimos	riram	riria	riria	riríamos	ririam	ria	riamos	riam	rindo	rido	ria	ria	riamos	riam	risse	risse	ríssemos	rissem	rir	rir	rirmos	rirem	rir	rir	rirmos	rirem
sorrir	sorrio	sorri	sorrimos	sorriem	sorria	sorria	sorríamos	sorriam	sorri	sorriu	sorrimos	sorriram	sorriria	sorriria	sorriríamos	sorririam	sorria	sorriamos	sorriam	sorrindo	sorrido	sorria	sorria	sorriamos	sorriam	sorrisse	sorrisse	sorríssemos	sorrissem	sorrir	sorrir	sorrirmos	sorrirem	sorrir	sorrir	sorrirmos	sorrirem
dormir	durmo	dorme	dormimos	dormem	dormia	dormia	dormíamos	dormiam	dormi	dormiu	dormimos	dormiram	dormiria	dormiria	dormiríamos	dormiriam	durma	durmamos	durmam	dormindo	dormido	durma	durma	durmamos	durmam	dormisse	dormisse	dormíssemos	dormissem	dormir	dormir	dormirmos	dormirem	dormir	dormir	dormirmos	dormirem
entrever	entrevejo	entrevê	entrevemos	entreveem	entrevia	entrevia	entrevíamos	entreviam	entrevi	entreviu	entrevimos	entreviram	entreveria	entreveria	entreveríamos	entreveriam	entreveja	entrevejamos	entrevejam	entrevendo	entrevisto	entreveja	entreveja	entrevejamos	entrevejam	entrevisse	entrevisse	entrevíssemos	entrevissem	entrever	entrever	entrevermos	entreverem	entrever	entrever	entrevermos	entreverem
